Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Ludvigson et al., 2015",100.0,,,746,mean,373,1492,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",102.5,,,886,mean,443,1772,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",111.5,,,996,mean,498,1992,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",113.5,,,1335,mean,668,2670,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",115.5,,,986,mean,493,1972,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",116.0,,,1071,mean,536,2142,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",116.5,,,1190,mean,595,2380,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ludvigson et al., 2015",119.4,,,1179,mean,590,2358,"16 and 84 percentiles; uncertainty determined originally by varying S(z) from 1500 to 3000 ppm; uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Da et al., 2015",1.0,,,244,mean,153,403,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.1,,,214,mean,134,353,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.2,,,335,mean,210,552,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.2,,,217,mean,136,357,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.2,,,193,mean,121,319,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.3,,,141,mean,88,233,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.3,,,157,mean,98,258,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.3,,,196,mean,123,324,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.4,,,194,mean,122,321,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.4,,,192,mean,120,317,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.4,,,192,mean,120,316,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.4,,,194,mean,121,320,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.5,,,239,mean,150,394,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.5,,,210,mean,132,347,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.5,,,303,mean,190,500,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.6,,,282,mean,177,465,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.6,,,230,mean,144,380,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.6,,,247,mean,154,407,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.6,,,207,mean,130,342,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.7,,,239,mean,150,394,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.8,,,230,mean,144,379,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.9,,,307,mean,192,507,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",1.9,,,252,mean,158,415,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.1,,,299,mean,187,494,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.1,,,300,mean,188,495,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.1,,,278,mean,174,458,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.2,,,338,mean,212,557,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.3,,,387,mean,243,639,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.3,,,342,mean,214,564,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.3,,,405,mean,254,669,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.6,,,400,mean,251,660,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Da et al., 2015",2.6,,,385,mean,241,636,16 and 84 percentiles; uncertainty determined by varying S(z) from 798 to 2103 ppm,right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",221.9,,,6,mean,3,12,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",220.1,,,215,mean,108,430,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",214.7,,,355,mean,178,710,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",213.5,,,443,mean,222,886,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",213.3,,,500,mean,250,1000,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",213.2,,,546,mean,273,1092,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",213.1,,,501,mean,251,1002,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",213.0,,,523,mean,262,1046,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.7,,,170,mean,85,340,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.6,,,738,mean,369,1476,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.5,,,1463,mean,732,2926,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.4,,,522,mean,261,1044,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.2,,,713,mean,357,1426,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2015 (expands and refines Atchley et al., 2013)",212.1,,,708,mean,354,1416,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
